,index,Word,Count
784,1514,walk,11
785,1560,people,11
786,1839,note,11
787,53,knight,11
788,1864,strength,11
789,1867,deep,11
790,844,together,11
791,4026,street,11
792,881,quality,11
793,973,fain,11
794,1821,damned,11
795,953,fond,11
796,2813,torch,11
797,3524,apothecary,11
798,1018,monster,11
799,3672,soft,11
800,186,nine,11
801,618,appear,11
802,4919,reputation,11
803,5526,saint,11
804,2698,en,11
805,1737,guard,11
806,1285,plain,11
807,2178,heads,11
808,681,wretch,11
809,674,match,11
810,224,toward,11
811,324,self,11
812,11,earl,11
813,381,mouth,11
814,2318,bones,11
815,2892,revenge,11
816,633,shape,11
817,2310,food,11
818,609,banish,11
819,1233,over,11
820,714,want,11
821,1415,cut,11
822,1644,pluck,11
823,1482,fearful,11
824,5828,watchman,11
825,244,court,11
826,3169,quickly,11
827,4338,bade,11
828,107,charge,11
829,1722,unless,11
830,4232,satisfied,11
831,109,often,11
832,4745,blessed,10
833,1942,scarce,10
834,2633,gold,10
835,2634,field,10
836,892,asleep,10
837,1748,gainst,10
838,3144,sake,10
839,6005,rosaline,10
840,165,making,10
841,947,keeps,10
842,47,train,10
843,6060,flower,10
844,4388,lovers,10
845,2417,command,10
846,2517,pain,10
847,144,year,10
848,6557,church,10
849,4046,damn,10
850,2558,piece,10
851,1249,dinner,10
852,898,speed,10
853,1557,horses,10
854,6332,silver,10
855,895,land,10
856,890,got,10
857,1393,drink,10
858,3961,vault,10
859,1099,disposition,10
860,621,banishment,10
861,1968,anger,10
862,701,unnatural,10
863,2714,laid,10
864,2142,winds,10
865,4295,book,10
866,1161,wherein,10
867,966,write,10
868,726,action,10
869,1355,pretty,10
870,2850,green,10
871,2094,warm,10
872,3023,woes,10
873,1183,stir,10
874,5419,strumpet,10
875,1343,measure,10
876,771,chance,10
877,1668,powers,10
878,2763,wine,10
879,5818,john,10
880,1616,cheeks,10
881,1975,bite,10
882,2132,beast,10
883,695,monstrous,10
884,951,begin,10
885,2175,cruel,10
886,1437,sudden,10
887,2241,form,10
888,1219,endure,10
889,1079,heavenly,10
890,1430,manners,10
891,346,precious,10
892,471,pride,10
893,640,towards,10
894,1903,rogue,9
895,175,honourable,9
896,1704,nose,9
897,923,dispatch,9
898,1648,yea,9
899,3397,yond,9
900,2508,report,9
901,335,deed,9
902,1373,beg,9
903,2688,naked,9
904,1570,patient,9
905,940,taste,9
906,2926,burning,9
907,1356,taking,9
908,2860,weapon,9
909,1865,commend,9
910,411,carry,9
911,2672,delicate,9
912,1068,excellent,9
913,1676,inform,9
914,1284,deliver,9
915,2677,tear,9
916,4158,souls,9
917,1596,dry,9
918,1791,spirits,9
919,5604,hie,9
920,2465,blow,9
921,2273,alive,9
922,1420,parts,9
923,3789,officers,9
924,632,adieu,9
925,634,country,9
926,1156,spake,9
927,4561,clouds,9
928,1755,torches,9
929,1215,gross,9
930,1553,themselves,9
931,663,curse,9
932,2209,raised,9
933,2194,post,9
934,3009,supper,9
935,1783,fell,9
936,3006,changed,9
937,1617,pains,9
938,1179,lodging,9
939,1998,goose,9
940,1008,danger,9
941,1238,used,9
942,615,fare,9
943,4121,quiet,9
